pollster,date,sample,moe,Biden (D),Trump (R),spread,state,Kennedy (I),West (I)
RCP Average,12/1 - 1/28,—,—,44,37.5,Biden+6.5,colorado,NA,NA
Emerson,1/23 - 1/28,1856 RV,2.2,41,35,Biden+6,colorado,NA,NA
U. of Colorado/YouGov,12/1 - 12/18,800 A,4.2,47,40,Biden+7,colorado,NA,NA
Emerson,10/1 - 10/4,442 RV,4.6,42,38,Biden+4,colorado,NA,NA
The Hill/Emerson,10/26 - 10/29,1000 LV,3.0,47,39,Biden+8,colorado,NA,NA
The Hill/Emerson,9/18 - 9/19,1000 LV,3.0,46,36,Biden+10,colorado,NA,NA
Emerson,10/1 - 10/4,468 RV,4.5,43,34,Biden+9,illinois,NA,NA
The Hill/Emerson*,10/20 - 10/24,1000 LV,3,49,37,Biden+12,illinois,NA,NA
Chicago Sun-Times/PPP,10/10 - 10/11,770 LV,3.5,51,42,Biden+9,illinois,NA,NA
WGN-TV/Emerson,9/21 - 9/23,1000 RV,3,51,38,Biden+13,illinois,NA,NA
Pan Atlantic,2/6 - 2/14,LV,NA,39,31,Biden+8,maine,NA,NA
Critical Insights,10/3 - 11/2,307 LV,NA,43,27,Biden+16,maine,NA,NA
Pan Atlantic,2/6 - 2/14,791 LV,3.5,32,38,Trump+6,maine,NA,NA
Critical Insights,10/3 - 11/2,614 LV,3.9,36,35,Biden+1,maine,NA,NA
Emerson,9/19 - 9/20,1164 LV,2.8,51,40,Biden+11,maine,NA,NA
PPP (D),6/13 - 6/14,555 RV,4.2,48,41,Biden+7,new-mexico,NA,NA
PPP (D),8/23 - 8/24,767 RV,3.5,49,41,Biden+8,new-mexico,NA,NA
The Hill/Emerson,10/25 - 10/28,1000 LV,3,48,38,Biden+10,new-mexico,NA,NA
The Hill/Emerson,9/8 - 9/11,1000 LV,3,47,41,Biden+6,new-mexico,NA,NA
RCP Average,4/11 - 6/18,—,—,43.2,48.2,Trump+5.0,georgia,NA,NA
The Hill/Emerson,6/13 - 6/18,1000 RV,3.0,41,45,Trump+4,georgia,NA,NA
Quinnipiac,5/30 - 6/3,1203 RV,2.8,44,49,Trump+5,georgia,NA,NA
Bloomberg/MrnConsult,5/7 - 5/13,795 RV,3.0,44,47,Trump+3,georgia,NA,NA
Cook Political Report,5/6 - 5/13,600 LV,4.0,44,47,Trump+3,georgia,NA,NA
NY Times/Siena,4/28 - 5/9,604 LV,4.6,41,50,Trump+9,georgia,NA,NA
The Hill/Emerson,4/25 - 4/29,1000 RV,3.0,44,47,Trump+3,georgia,NA,NA
FOX News,4/11 - 4/16,1128 RV,3.0,45,51,Trump+6,georgia,NA,NA
Bloomberg/MrnConsult,4/8 - 4/13,802 RV,3.0,43,49,Trump+6,georgia,NA,NA
Wall Street Journal,3/17 - 3/24,600 RV,4.0,43,44,Trump+1,georgia,NA,NA
Marist,3/11 - 3/14,1171 RV,3.7,47,51,Trump+4,georgia,NA,NA
Bloomberg/MrnConsult,3/8 - 3/12,788 RV,3.0,42,49,Trump+7,georgia,NA,NA
CBS News,3/4 - 3/11,1126 LV,3.9,48,51,Trump+3,georgia,NA,NA
The Hill/Emerson,3/5 - 3/7,1000 RV,3.0,42,46,Trump+4,georgia,NA,NA
Bloomberg/MrnConsult,2/12 - 2/20,800 RV,3.0,43,49,Trump+6,georgia,NA,NA
The Hill/Emerson,2/14 - 2/16,1000 RV,3.0,42,48,Trump+6,georgia,NA,NA
FOX News,1/26 - 1/30,1119 RV,3.0,43,51,Trump+8,georgia,NA,NA
Bloomberg/MrnConsult,1/16 - 1/21,798 RV,3.0,41,49,Trump+8,georgia,NA,NA
Atlanta Journal-Constitution,1/3 - 1/11,1007 RV,3.1,37,45,Trump+8,georgia,NA,NA
CNN,11/29 - 12/6,1068 LV,3.3,44,49,Trump+5,georgia,NA,NA
Bloomberg/MrnConsult,11/27 - 12/6,801 RV,3.0,43,49,Trump+6,georgia,NA,NA
Bloomberg/MrnConsult,10/30 - 11/7,803 RV,—,41,48,Trump+7,georgia,NA,NA
Emerson,10/30 - 11/4,780 LV,3.0,41,49,Trump+8,georgia,NA,NA
Atlanta Journal-Constitution,10/26 - 11/3,1002 LV,3.1,44,45,Trump+1,georgia,NA,NA
NY Times/Siena,10/22 - 11/3,629 RV,4.6,43,49,Trump+6,georgia,NA,NA
Bloomberg/MrnConsult,10/10 - 10/15,801 RV,—,43,48,Trump+5,georgia,NA,NA
The Hill/Emerson,11/28 - 11/30,888 LV,3.2,44,43,Biden+1,georgia,NA,NA
UMass Lowell,11/18 - 11/28,1300 LV,3.2,47,43,Biden+4,georgia,NA,NA
The Hill/Emerson,10/28 - 10/31,1000 LV,3.0,44,47,Trump+3,georgia,NA,NA
Rasmussen Reports,10/23 - 10/24,1053 LV,3.0,39,47,Trump+8,georgia,NA,NA
The Hill/Emerson,10/6 - 10/7,1000 LV,3.0,43,45,Trump+2,georgia,NA,NA
Emerson,8/28 - 8/29,600 LV,3.9,46,51,Trump+5,georgia,NA,NA
East Carolina U.,6/6 - 6/9,868 RV,3.9,40,47,Trump+7,georgia,NA,NA
RCP Average,4/11 - 6/18,—,—,46.9,47.1,Trump+0.2,michigan,NA,NA
The Hill/Emerson,6/13 - 6/18,1000 RV,3.0,45,46,Trump+1,michigan,NA,NA
MNS/Mitchell Research,6/3 - 6/3,697 LV,3.7,48,48,Tie,michigan,NA,NA
MIRS/Mitchell Research,5/20 - 5/21,697 LV,3.7,47,49,Trump+2,michigan,NA,NA
Bloomberg/MrnConsult,5/7 - 5/13,704 RV,4.0,46,45,Biden+1,michigan,NA,NA
Cook Political Report,5/6 - 5/13,606 LV,4.0,45,47,Trump+2,michigan,NA,NA
NY Times/Siena,4/28 - 5/9,616 LV,4.5,47,46,Biden+1,michigan,NA,NA
The Hill/Emerson,4/25 - 4/29,1000 RV,3.0,44,45,Trump+1,michigan,NA,NA
CBS News,4/19 - 4/25,1287 LV,3.1,51,49,Biden+2,michigan,NA,NA
FOX News,4/11 - 4/16,1126 RV,3.0,46,49,Trump+3,michigan,NA,NA
Bloomberg/MrnConsult,4/8 - 4/13,803 RV,3.0,47,45,Biden+2,michigan,NA,NA
MRG,4/8 - 4/11,600 LV,4.0,36,42,Trump+6,michigan,NA,NA
Wall Street Journal,3/17 - 3/24,600 RV,4.0,45,48,Trump+3,michigan,NA,NA
The Hill/Emerson,3/14 - 3/18,1000 RV,3.0,44,45,Trump+1,michigan,NA,NA
MIRS/Mitchell Research,3/15 - 3/16,627 LV,3.9,44,47,Trump+3,michigan,NA,NA
CNN,3/13 - 3/18,1097 RV,3.6,42,50,Trump+8,michigan,NA,NA
Bloomberg/MrnConsult,3/8 - 3/12,698 RV,4.0,45,45,Tie,michigan,NA,NA
Quinnipiac,3/8 - 3/12,1487 RV,2.5,45,48,Trump+3,michigan,NA,NA
Bloomberg/MrnConsult,2/12 - 2/20,702 RV,4.0,44,46,Trump+2,michigan,NA,NA
The Hill/Emerson,2/20 - 2/24,1000 RV,3.0,44,46,Trump+2,michigan,NA,NA
EPIC-MRA,2/13 - 2/18,600 LV,4.0,41,45,Trump+4,michigan,NA,NA
FOX News,2/8 - 2/12,1106 RV,3.0,45,47,Trump+2,michigan,NA,NA
Bloomberg/MrnConsult,1/16 - 1/20,703 RV,4.0,42,47,Trump+5,michigan,NA,NA
Detroit News,1/2 - 1/6,600 LV,4.0,39,47,Trump+8,michigan,NA,NA
Bloomberg/MrnConsult,11/27 - 12/6,703 RV,4.0,42,46,Trump+4,michigan,NA,NA
CNN,11/29 - 12/6,1197 RV,3.4,40,50,Trump+10,michigan,NA,NA
EPIC-MRA,11/10 - 11/16,600 LV,4.0,41,46,Trump+5,michigan,NA,NA
Bloomberg/MrnConsult,10/30 - 11/7,700 RV,—,43,43,Tie,michigan,NA,NA
Emerson,10/30 - 11/4,788 LV,3.0,45,43,Biden+2,michigan,NA,NA
NY Times/Siena,10/22 - 11/3,616 RV,4.6,43,48,Trump+5,michigan,NA,NA
Bloomberg/MrnConsult,10/10 - 10/15,706 RV,—,44,44,Tie,michigan,NA,NA
MRG,10/2 - 10/8,600 LV,4.0,35,42,Trump+7,michigan,NA,NA
Emerson,10/1 - 10/4,468 RV,4.5,44,43,Biden+1,michigan,NA,NA
Susquehanna,9/7 - 9/12,700 RV,3.7,46,43,Biden+3,michigan,NA,NA
EPIC-MRA,8/6 - 8/11,600 LV,4.0,46,45,Biden+1,michigan,NA,NA
Emerson,8/1 - 8/2,1121 RV,2.9,44,44,Tie,michigan,NA,NA
MIRS/Mitchell Research,7/11 - 7/13,639 LV,4.0,45,43,Biden+2,michigan,NA,NA
EPIC-MRA,6/8 - 6/14,600 LV,4.0,44,44,Tie,michigan,NA,NA
Detroit Free Press/EPIC-MRA,11/30 - 12/6,600 LV,4.0,47,43,Biden+4,michigan,NA,NA
Emerson,10/28 - 10/31,900 LV,3.2,44,47,Trump+3,michigan,NA,NA
Emerson,10/12 - 10/14,580 LV,4.0,44,44,Tie,michigan,NA,NA
RCP Average,11/14 - 6/18,—,—,44.7,43,Biden+1.7,minnesota,NA,NA
The Hill/Emerson,6/13 - 6/18,1000 RV,3.0,45,45,Tie,minnesota,NA,NA
KSTP/SurveyUSA,5/8 - 5/11,625 LV,4.3,44,42,Biden+2,minnesota,NA,NA
KSTP/SurveyUSA,4/3 - 4/7,608 LV,4.9,44,42,Biden+2,minnesota,NA,NA
KSTP/SurveyUSA,2/23 - 3/28,1603 LV,3.0,42,38,Biden+4,minnesota,NA,NA
KSTP/SurveyUSA,1/24 - 1/29,1594 LV,2.8,42,39,Biden+3,minnesota,NA,NA
MinnPost,11/14 - 11/17,1519 LV,2.6,45,42,Biden+3,minnesota,NA,NA
Emerson,10/1 - 10/4,477 RV,4.4,40,38,Biden+2,minnesota,NA,NA
RCP Average,3/17 - 6/18,—,—,42.8,48.5,Trump+5.7,nevada,NA,NA
The Hill/Emerson,6/13 - 6/18,1000 RV,3.0,43,46,Trump+3,nevada,NA,NA
FOX News,6/1 - 6/4,1069 RV,3.0,45,50,Trump+5,nevada,NA,NA
Bloomberg/MrnConsult,5/7 - 5/13,459 RV,5.0,47,47,Tie,nevada,NA,NA
Cook Political Report,5/6 - 5/13,402 LV,4.9,40,49,Trump+9,nevada,NA,NA
NY Times/Siena,4/28 - 5/9,614 LV,4.5,38,51,Trump+13,nevada,NA,NA
The Hill/Emerson,4/25 - 4/29,1000 RV,3.0,44,45,Trump+1,nevada,NA,NA
Bloomberg/MrnConsult,4/8 - 4/13,450 RV,5.0,43,51,Trump+8,nevada,NA,NA
Wall Street Journal,3/17 - 3/24,600 RV,4.0,44,48,Trump+4,nevada,NA,NA
The Hill/Emerson,3/12 - 3/15,1000 RV,3.0,41,44,Trump+3,nevada,NA,NA
Bloomberg/MrnConsult,3/8 - 3/15,447 RV,4.0,44,46,Trump+2,nevada,NA,NA
Noble Predictive Insights,2/27 - 3/5,829 RV,3.4,40,45,Trump+5,nevada,NA,NA
Bloomberg/MrnConsult,2/12 - 2/20,445 RV,5.0,42,48,Trump+6,nevada,NA,NA
The Hill/Emerson,2/16 - 2/19,1000 RV,3.0,40,46,Trump+6,nevada,NA,NA
Bloomberg/MrnConsult,1/16 - 1/22,457 RV,5.0,40,48,Trump+8,nevada,NA,NA
Emerson,1/5 - 1/8,1294 RV,2.6,45,47,Trump+2,nevada,NA,NA
Bloomberg/MrnConsult,11/27 - 12/6,451 RV,5.0,44,47,Trump+3,nevada,NA,NA
Bloomberg/MrnConsult,10/30 - 11/7,437 RV,—,43,46,Trump+3,nevada,NA,NA
Emerson,10/30 - 11/4,770 LV,3.0,44,47,Trump+3,nevada,NA,NA
NY Times/Siena,10/22 - 11/3,611 RV,4.6,41,52,Trump+11,nevada,NA,NA
Bloomberg/MrnConsult,10/10 - 10/15,503 RV,—,46,43,Biden+3,nevada,NA,NA
CNN,9/29 - 10/6,1251 RV,4.6,46,45,Biden+1,nevada,NA,NA
Nevada Independent,4/18 - 4/26,613 LV,4.0,48,40,Biden+8,nevada,NA,NA
Nevada Independent,1/30 - 2/6,800 RV,3.5,40,42,Trump+2,nevada,NA,NA
